hello: olá
goodbye: adeus
please: por favor
thank you: obrigado
yes: sim
no: não
friend: amigo
family: família
house: casa
car: carro
food: comida
water: água
air: ar
sun: sol
moon: lua
star: estrela
book: livro
paper: papel
pen: caneta
pencil: lápis
computer: computador
phone: telefone
movie: filme
music: música
art: arte
science: ciência
history: história
math: matemática
language: língua
world: mundo
country: país
city: cidade
school: escola
teacher: professor
student: aluno
doctor: médico
lawyer: advogado
engineer: engenheiro
business: negócios
money: dinheiro
time: tempo
love: amor
peace: paz
happiness: felicidade
dog: cachorro
cat: gato
bird: pássaro
tree: árvore
flower: flor
mountain: montanha
river: rio
ocean: oceano
beach: praia
rain: chuva
snow: neve
cloud: nuvem
wind: vento
fire: fogo
earth: terra
sky: céu
road: estrada
bridge: ponte
building: prédio
restaurant: restaurante
coffee: café
tea: chá
milk: leite
bread: pão
cheese: queijo
fruit: fruta
vegetable: legume
meat: carne
fish: peixe
chicken: frango
rice: arroz
potato: batata
soup: sopa
salad: salada
dessert: sobremesa
breakfast: café da manhã
lunch: almoço
dinner: jantar
morning: manhã
afternoon: tarde
evening: noite
night: noite
week: semana
month: mês
year: ano
birthday: aniversário
holiday: feriado
vacation: férias
dad: pai
mom: mãe
